QUERY PLAN
Sort  (cost=143548.61..143549.86 rows=500 width=76) (actual time=2265.867..2272.760 rows=500 loops=1)
"  Sort Key: (concat(c.city, ', ', c.street, ' ', c.building_number))"
  Sort Method: quicksort  Memory: 69kB
  ->  Finalize GroupAggregate  (cost=143388.27..143526.19 rows=500 width=76) (actual time=2262.723..2270.532 rows=500 loops=1)
        Group Key: c._id
        ->  Gather Merge  (cost=143388.27..143504.94 rows=1000 width=68) (actual time=2262.391..2269.550 rows=1500 loops=1)
              Workers Planned: 2
              Workers Launched: 2
              ->  Sort  (cost=142388.24..142389.49 rows=500 width=68) (actual time=2196.783..2196.809 rows=500 loops=3)
                    Sort Key: c._id
                    Sort Method: quicksort  Memory: 67kB
                    Worker 0:  Sort Method: quicksort  Memory: 67kB
                    Worker 1:  Sort Method: quicksort  Memory: 67kB
                    ->  Partial HashAggregate  (cost=142360.83..142365.83 rows=500 width=68) (actual time=2196.503..2196.618 rows=500 loops=3)
                          Group Key: c._id
                          Batches: 1  Memory Usage: 169kB
                          Worker 0:  Batches: 1  Memory Usage: 169kB
                          Worker 1:  Batches: 1  Memory Usage: 169kB
                          ->  Parallel Hash Join  (cost=6034.04..87062.70 rows=2010841 width=36) (actual time=78.932..1462.302 rows=2372742 loops=3)
                                Hash Cond: (s.fk_worker_id = w._id)
                                ->  Parallel Seq Scan on shift s  (cost=0.00..60939.76 rows=2202776 width=8) (actual time=0.394..514.100 rows=1762221 loops=3)
                                ->  Parallel Hash  (cost=5329.26..5329.26 rows=56383 width=36) (actual time=78.134..78.137 rows=31950 loops=3)
                                      Buckets: 131072  Batches: 1  Memory Usage: 7808kB
                                      ->  Hash Join  (cost=2726.90..5329.26 rows=56383 width=36) (actual time=34.932..66.973 rows=31950 loops=3)
                                            Hash Cond: (e.fk_cinema_id = c._id)
                                            ->  Hash Join  (cost=2711.65..5164.74 rows=56383 width=12) (actual time=34.416..58.710 rows=31950 loops=3)
                                                  Hash Cond: (w._id = e.fk_worker_id)
                                                  ->  Parallel Seq Scan on worker w  (cost=0.00..1657.65 rows=61765 width=4) (actual time=0.187..8.031 rows=35000 loops=3)
                                                  ->  Hash  (cost=1513.51..1513.51 rows=95851 width=8) (actual time=33.887..33.888 rows=95851 loops=3)
                                                        Buckets: 131072  Batches: 1  Memory Usage: 4769kB
                                                        ->  Seq Scan on employment e  (cost=0.00..1513.51 rows=95851 width=8) (actual time=0.153..14.977 rows=95851 loops=3)
                                            ->  Hash  (cost=9.00..9.00 rows=500 width=28) (actual time=0.503..0.504 rows=500 loops=3)
                                                  Buckets: 1024  Batches: 1  Memory Usage: 39kB
                                                  ->  Seq Scan on cinema c  (cost=0.00..9.00 rows=500 width=28) (actual time=0.084..0.374 rows=500 loops=3)
Planning Time: 20.188 ms
Execution Time: 2273.675 ms
