"QUERY PLAN"
"Sort  (cost=8841111.24..8841136.24 rows=10000 width=25) (actual time=57305.239..57752.100 rows=10000 loops=1)"
"  Sort Key: (count(DISTINCT ss.fk_ticket_id)) DESC"
"  Sort Method: quicksort  Memory: 821kB"
"  ->  GroupAggregate  (cost=4007252.62..8840446.86 rows=10000 width=25) (actual time=48241.357..57739.338 rows=10000 loops=1)"
"        Group Key: m._id"
"        ->  Gather Merge  (cost=4007252.62..8641399.20 rows=39789531 width=21) (actual time=48240.337..55146.417 rows=19733595 loops=1)"
"              Workers Planned: 2"
"              Workers Launched: 2"
"              ->  Sort  (cost=4006252.60..4047700.03 rows=16578971 width=21) (actual time=48175.599..50617.320 rows=6577865 loops=3)"
"                    Sort Key: m._id, ss.fk_ticket_id"
"                    Sort Method: external merge  Disk: 210944kB"
"                    Worker 0:  Sort Method: external merge  Disk: 207864kB"
"                    Worker 1:  Sort Method: external merge  Disk: 210168kB"
"                    ->  Hash Join  (cost=443420.98..1338196.63 rows=16578971 width=21) (actual time=28461.865..38757.141 rows=6577865 loops=3)"
"                          Hash Cond: (mv.fk_movie_id = m._id)"
"                          ->  Hash Join  (cost=443110.98..1294348.39 rows=16578971 width=8) (actual time=28458.329..36045.876 rows=6577865 loops=3)"
"                                Hash Cond: (s.fk_movie_version_id = mv._id)"
"                                ->  Parallel Hash Join  (cost=442289.42..1250000.75 rows=16578971 width=8) (actual time=28449.294..32879.073 rows=6577865 loops=3)"
"                                      Hash Cond: (ss.fk_screening_id = s._id)"
"                                      ->  Parallel Hash Join  (cost=405563.42..1036974.86 rows=16578971 width=8) (actual time=16874.967..26222.724 rows=6577865 loops=3)"
"                                            Hash Cond: (ss.fk_ticket_id = t._id)"
"                                            ->  Parallel Seq Scan on seat_screening ss  (cost=0.00..424144.03 rows=16779203 width=8) (actual time=4.015..7671.177 rows=13405335 loops=3)"
"                                            ->  Parallel Hash  (cost=270603.65..270603.65 rows=8226062 width=4) (actual time=6502.858..6502.859 rows=6577865 loops=3)"
"                                                  Buckets: 262144  Batches: 256  Memory Usage: 5120kB"
"                                                  ->  Parallel Seq Scan on ticket t  (cost=0.00..270603.65 rows=8226062 width=4) (actual time=0.519..4675.595 rows=6577865 loops=3)"
"                                                        Filter: (status = ANY ('{valid,used}'::ticket_status[]))"
"                                                        Rows Removed by Filter: 83061"
"                                      ->  Parallel Hash  (cost=23053.33..23053.33 rows=833333 width=8) (actual time=468.026..468.027 rows=666667 loops=3)"
"                                            Buckets: 262144  Batches: 16  Memory Usage: 7008kB"
"                                            ->  Parallel Seq Scan on screening s  (cost=0.00..23053.33 rows=833333 width=8) (actual time=0.410..305.197 rows=666667 loops=3)"
"                                ->  Hash  (cost=454.03..454.03 rows=29403 width=8) (actual time=8.888..8.889 rows=29403 loops=3)"
"                                      Buckets: 32768  Batches: 1  Memory Usage: 1405kB"
"                                      ->  Seq Scan on movie_version mv  (cost=0.00..454.03 rows=29403 width=8) (actual time=0.139..4.235 rows=29403 loops=3)"
"                          ->  Hash  (cost=185.00..185.00 rows=10000 width=17) (actual time=3.355..3.355 rows=10000 loops=3)"
"                                Buckets: 16384  Batches: 1  Memory Usage: 609kB"
"                                ->  Seq Scan on movie m  (cost=0.00..185.00 rows=10000 width=17) (actual time=0.077..1.581 rows=10000 loops=3)"
"Planning Time: 3.485 ms"
"Execution Time: 57788.021 ms"
