"QUERY PLAN"
"Sort  (cost=932550.94..932552.19 rows=500 width=36) (actual time=37145.554..38955.756 rows=500 loops=1)"
"  Sort Key: (sum(t.total_price)) DESC"
"  Sort Method: quicksort  Memory: 52kB"
"  ->  Finalize GroupAggregate  (cost=932401.85..932528.52 rows=500 width=36) (actual time=37142.945..38955.015 rows=500 loops=1)"
"        Group Key: c._id"
"        ->  Gather Merge  (cost=932401.85..932518.52 rows=1000 width=36) (actual time=37142.927..38954.171 rows=1500 loops=1)"
"              Workers Planned: 2"
"              Workers Launched: 2"
"              ->  Sort  (cost=931401.82..931403.07 rows=500 width=36) (actual time=36961.164..36961.257 rows=500 loops=3)"
"                    Sort Key: c._id"
"                    Sort Method: quicksort  Memory: 52kB"
"                    Worker 0:  Sort Method: quicksort  Memory: 52kB"
"                    Worker 1:  Sort Method: quicksort  Memory: 52kB"
"                    ->  Partial HashAggregate  (cost=931374.41..931379.41 rows=500 width=36) (actual time=36960.265..36960.617 rows=500 loops=3)"
"                          Group Key: c._id"
"                          Batches: 1  Memory Usage: 105kB"
"                          Worker 0:  Batches: 1  Memory Usage: 105kB"
"                          Worker 1:  Batches: 1  Memory Usage: 105kB"
"                          ->  Hash Left Join  (cost=533687.32..922189.39 rows=1837004 width=36) (actual time=26113.640..36359.588 rows=1476553 loops=3)"
"                                Hash Cond: (r.fk_cinema_id = c._id)"
"                                ->  Parallel Hash Right Join  (cost=533672.07..917311.13 rows=1837004 width=12) (actual time=26112.758..35634.269 rows=1476553 loops=3)"
"                                      Hash Cond: (t._id = ss.fk_ticket_id)"
"                                      ->  Parallel Seq Scan on ticket t  (cost=0.00..249790.12 rows=8325412 width=12) (actual time=1.151..10429.927 rows=6660926 loops=3)"
"                                      ->  Parallel Hash  (cost=503533.52..503533.52 rows=1837004 width=8) (actual time=13084.480..13084.487 rows=1476553 loops=3)"
"                                            Buckets: 262144 (originally 262144)  Batches: 64 (originally 32)  Memory Usage: 94880kB"
"                                            ->  Hash Join  (cost=30513.63..503533.52 rows=1837004 width=8) (actual time=686.706..12238.855 rows=1476553 loops=3)"
"                                                  Hash Cond: (s.fk_room_id = r._id)"
"                                                  ->  Parallel Hash Join  (cost=30443.76..498633.29 rows=1837004 width=8) (actual time=683.988..11325.226 rows=1476553 loops=3)"
"                                                        Hash Cond: (ss.fk_screening_id = s._id)"
"                                                        ->  Parallel Seq Scan on seat_screening ss  (cost=0.00..424144.03 rows=16779203 width=8) (actual time=1.122..4429.019 rows=13405335 loops=3)"
"                                                        ->  Parallel Hash  (cost=29303.33..29303.33 rows=91234 width=8) (actual time=681.900..681.901 rows=73434 loops=3)"
"                                                              Buckets: 262144  Batches: 1  Memory Usage: 10688kB"
"                                                              ->  Parallel Seq Scan on screening s  (cost=0.00..29303.33 rows=91234 width=8) (actual time=3.111..633.992 rows=73434 loops=3)"
"                                                                    Filter: (start_time >= (CURRENT_DATE - '1 year'::interval))"
"                                                                    Rows Removed by Filter: 593233"
"                                                  ->  Hash  (cost=38.83..38.83 rows=2483 width=8) (actual time=2.682..2.682 rows=2483 loops=3)"
"                                                        Buckets: 4096  Batches: 1  Memory Usage: 129kB"
"                                                        ->  Seq Scan on room r  (cost=0.00..38.83 rows=2483 width=8) (actual time=0.219..1.634 rows=2483 loops=3)"
"                                ->  Hash  (cost=9.00..9.00 rows=500 width=28) (actual time=0.832..0.832 rows=500 loops=3)"
"                                      Buckets: 1024  Batches: 1  Memory Usage: 39kB"
"                                      ->  Seq Scan on cinema c  (cost=0.00..9.00 rows=500 width=28) (actual time=0.221..0.666 rows=500 loops=3)"
"Planning Time: 14.913 ms"
"Execution Time: 38956.619 ms"
