"Id kina","Adres","Przychody z biletów"
214,"Tychy, ul. Klasztorna 12","16856.20"
242,"Jarocin, ul. Gdańska 5","15380.25"
277,"Kędzierzyn-Koźle, ul. Wiślana 8","15377.05"
114,"Puławy, ul. Brzozowa 10","15241.60"
17,"Wałcz, ul. Górnicza 2","14624.15"
270,"Warszawa, ul. Jaśminowa 1","13804.80"
70,"Łaziska Górne, ul. Fabryczna 23","13788.10"
205,"Kołobrzeg, ul. Turkusowa 16","13420.75"
202,"Gorzów Wielkopolski, ul. Starowiejska 26","13094.00"
389,"Gorzów Wielkopolski, ul. Popiełuszki 4","12979.10"
107,"Brodnica, ul. Wiatraczna 14","12735.85"
421,"Biała Podlaska, ul. Tuwima 24","12682.45"
265,"Jelenia Góra, ul. Kolorowa 6","12531.60"
149,"Słupsk, ul. Tęczowa 25","12271.40"
128,"Oława, ul. Szpitalna 15","12136.25"
35,"Starogard Gdański, ul. Długosza 7","11904.55"
382,"Mikołów, ul. Sosnowa 27","11814.10"
99,"Częstochowa, ul. Solidarnosci 8","11808.05"
237,"Inowrocław, ul. Szkolna 16","11726.95"
311,"Biłgoraj, ul. Parkowa 25","11696.30"
240,"Kalisz, ul. Jesionowa 18","11623.10"
189,"Gdańsk, ul. Agrestowa 14","11536.70"
327,"Żywiec, ul. Willowa 4","11511.05"
184,"Kościan, ul. Broniewskiego 28","11405.15"
223,"Konin, ul. Swierkowa 4","11402.25"
143,"Kędzierzyn-Koźle, ul. Poprzeczna 8","11347.10"
251,"Białystok, ul. Sosnowa 11","11303.95"
28,"Ostrowiec Świętokrzyski, ul. Lipowa 3","11283.30"
321,"Pruszcz Gdański, ul. Wierzbowa 2","11194.30"
429,"Radom, ul. Skrajna 5","11176.55"
175,"Tomaszów Mazowiecki, ul. Pułaskiego 20","11107.40"
430,"Polkowice, ul. Rejtana 11","11090.15"
325,"Chojnice, ul. Kamienna 11","11046.40"
11,"Sieradz, ul. Rubinowa 6","10972.10"
477,"Tarnów, ul. Słowicza 5","10921.80"
29,"Stargard Szczeciński, ul. Lwowska 9","10919.45"
241,"Żary, ul. Malinowa 28","10835.70"
135,"Kielce, ul. Stefana Batorego 27","10808.75"
171,"Iława, ul. Zaciszna 16","10786.05"
340,"Starogard Gdański, ul. Malinowa 30","10738.55"
489,"Koło, ul. Prosta 7","10627.30"
455,"Lublin, ul. Wspólna 27","10564.00"
43,"Września, ul. Jesionowa 2","10561.65"
316,"Bielsk Podlaski, ul. Jarzębinowa 15","10481.75"
285,"Płock, ul. Kwiatowa 14","10456.15"
313,"Sieradz, ul. Niecała 15","10418.95"
74,"Piaseczno, ul. Chabrowa 17","10415.50"
483,"Rzeszów, ul. Fredry 29","10404.25"
404,"Gorlice, ul. Drzymały 9","10362.45"
330,"Olsztyn, ul. Szkolna 10","10350.65"
359,"Mikołów, ul. Graniczna 18","10349.90"
160,"Kwidzyn, ul. Azaliowa 14","10323.15"
323,"Płońsk, ul. Broniewskiego 11","10162.50"
286,"Płońsk, ul. Staszica 21","10114.80"
431,"Wieluń, ul. Chełmońskiego 9","10082.15"
348,"Zduńska Wola, ul. Fredry 14","10062.40"
140,"Poznań, ul. Matejki 10","9898.50"
320,"Oświęcim, ul. Wiejska 13","9796.70"
97,"Siemianowice Śląskie, ul. Zachodnia 30","9715.55"
4,"Sosnowiec, ul. Agrestowa 7","9676.45"
374,"Kraków, ul. Jastrzębia 4","9675.30"
69,"Gorlice, ul. Bukowa 12","9654.55"
48,"Śrem, ul. Tartaczna 25","9601.75"
326,"Bełchatów, ul. Lawendowa 7","9568.65"
500,"Ostrów Mazowiecka, ul. Popiełuszki 10","9566.25"
419,"Goleniów, ul. Maczka 19","9564.00"
406,"Tarnobrzeg, ul. Powstańców Śląskich 17","9527.85"
195,"Racibórz, ul. Szczęśliwa 10","9527.70"
213,"Sieradz, ul. Szeroka 13","9464.45"
395,"Inowrocław, ul. Krasickiego 13","9435.65"
42,"Zambrów, ul. Jaskółcza 2","9431.95"
485,"Lębork, ul. Ludowa 21","9427.60"
113,"Gorzów Wielkopolski, ul. Jana Pawła II 11","9421.75"
294,"Gorlice, ul. Promienna 16","9417.25"
104,"Czeladź, ul. Szarych Szeregów 30","9395.50"
111,"Jastrzębie-Zdrój, ul. Pocztowa 22","9388.70"
451,"Czerwionka-Leszczyny, ul. Słonecznikowa 26","9342.05"
