_id,title,tickets_sold
261,Samica.,4060
109,Syn trochę.,4051
2797,Stosunek mieszkaniec.,4018
7948,Ilość przedsiębiorstwo.,4017
1294,Październik ważny.,4004
8553,Marka sprawa.,3977
603,Tu układ.,3977
9799,Woda.,3930
5130,Wszelki.,3921
9733,Stawiać pogoda.,3914
1029,Gospodarczy prowadzić.,3913
5873,Przestać.,3900
9765,Port Europa.,3895
7789,Zacząć.,3893
7151,Przecież.,3887
8799,Wola ten sam.,3884
5264,Oddawać Rosja.,3881
3863,Sobą.,3880
1243,Artysta.,3876
713,Ozdoba ciemność.,3872
1080,Ciało morze.,3870
670,Daleki czynnik.,3864
2793,Wynosić obowiązek.,3859
4384,Przemysł.,3855
1790,Kobiecy japoński.,3852
769,Grecja.,3847
6482,Kierowca.,3847
9926,Miękki stracić.,3844
6035,Tarcza pies.,3840
2256,Zły mózg.,3839
8318,Jeździć.,3837
8517,Znów.,3833
6493,Sukces wyłącznie.,3833
5870,Dowód doświadczenie.,3832
9614,Oba.,3831
8039,Obiad umysł.,3830
1362,Wchodzić.,3826
8832,Związek.,3822
1330,Szwedzki.,3821
6909,Zmarły.,3817
7228,Otwierać.,3816
7025,Uznawać starożytny.,3813
621,By.,3813
1170,Mur.,3813
1485,Niezwykły.,3812
7871,Pojechać.,3808
5722,Brudny.,3807
3549,Wejść tekst.,3805
3832,Żeński.,3805
9003,Siedzieć.,3804
4482,Imię.,3801
8756,2.,3801
5088,Wierny.,3799
4421,Intensywny.,3796
5876,Teatr sobie.,3795
5046,Komputer poduszka.,3795
3227,Długo.,3792
3570,Zając chyba.,3792
2401,Ojczyzna.,3792
8824,Symbol obraz.,3791
9628,Nagle.,3789
6060,Książę.,3788
3821,Pokonać.,3787
8728,Osobisty.,3786
5869,Budowa litera.,3786
498,Kontynent.,3783
7971,Operacja przybyć.,3776
6724,Porządek.,3773
5269,Trwały.,3772
2569,Swój pokarm.,3771
3655,Odcinek.,3771
2252,Zainteresowanie religijny.,3770
6178,Wysoki.,3769
2907,Plaża.,3768
6923,Wyglądać Ameryka.,3767
7347,Austria.,3765
7212,Polak.,3762
4217,Spaść dobro.,3758
8452,Nigdy.,3758
687,Właściwy przedsiębiorstwo.,3756
4901,Śpiewać.,3756
