_id,city,street,building_number,total_ticket_income
17,Wałcz,Górnicza,2,214223.04999999958
277,Kędzierzyn-Koźle,Wiślana,8,212975.19999999955
214,Tychy,Klasztorna,12,205117.89999999973
202,Gorzów Wielkopolski,Starowiejska,26,202967.49999999983
406,Tarnobrzeg,Powstańców Śląskich,17,199726.99999999977
143,Kędzierzyn-Koźle,Poprzeczna,8,198570.64999999985
270,Warszawa,Jaśminowa,1,198240.6499999998
242,Jarocin,Gdańska,5,196460.3999999998
327,Żywiec,Willowa,4,193991.84999999983
240,Kalisz,Jesionowa,18,193531.45
205,Kołobrzeg,Turkusowa,16,187388.29999999996
430,Polkowice,Rejtana,11,185832.10000000003
128,Oława,Szpitalna,15,185541.25000000006
293,Zduńska Wola,Ludowa,18,184906.04999999993
389,Gorzów Wielkopolski,Popiełuszki,4,184468.24999999997
325,Chojnice,Kamienna,11,183633.25
160,Kwidzyn,Azaliowa,14,183048.04999999993
107,Brodnica,Wiatraczna,14,181980.39999999997
75,Mielec,Mokra,22,181858.59999999998
427,Jarocin,Krakowska,12,181476.15
421,Biała Podlaska,Tuwima,24,181008.24999999994
316,Bielsk Podlaski,Jarzębinowa,15,180066.80000000005
184,Kościan,Broniewskiego,28,179856.19999999995
294,Gorlice,Promienna,16,179712.84999999995
114,Puławy,Brzozowa,10,179555.64999999997
286,Płońsk,Staszica,21,179423.55
88,Nowy Sącz,Wiosenna,12,179354.20000000007
55,Szczecin,Długosza,25,177951.6
431,Wieluń,Chełmońskiego,9,177553.74999999997
29,Stargard Szczeciński,Lwowska,9,177136.79999999993
320,Oświęcim,Wiejska,13,176454.84999999998
175,Tomaszów Mazowiecki,Pułaskiego,20,176025.09999999992
189,Gdańsk,Agrestowa,14,175536.34999999998
311,Biłgoraj,Parkowa,25,175504.10000000003
70,Łaziska Górne,Fabryczna,23,175268.35
237,Inowrocław,Szkolna,16,174979.05000000002
135,Kielce,Stefana Batorego,27,173285.59999999998
97,Siemianowice Śląskie,Zachodnia,30,172820.10000000003
215,Płock,Dolna,29,171676.65000000002
213,Sieradz,Szeroka,13,170652.05000000005
216,Rumia,Witosa,2,170405.2
251,Białystok,Sosnowa,11,170274.8
111,Jastrzębie-Zdrój,Pocztowa,22,170271.9
285,Płock,Kwiatowa,14,170232.5
340,Starogard Gdański,Malinowa,30,170176.44999999998
485,Lębork,Ludowa,21,170122.0
352,Żagań,Solidarnosci,27,169979.60000000003
465,Biała Podlaska,Kalinowa,25,169226.94999999995
76,Częstochowa,Boczna,30,169077.45
265,Jelenia Góra,Kolorowa,6,167850.1
104,Czeladź,Szarych Szeregów,30,167383.49999999994
35,Starogard Gdański,Długosza,7,167348.35000000003
94,Wołomin,Stolarska,1,166796.85000000003
26,Olsztyn,Średnia,3,166232.65000000005
261,Lubartów,Ludowa,8,165648.09999999998
321,Pruszcz Gdański,Wierzbowa,2,165553.35000000003
149,Słupsk,Tęczowa,25,165411.10000000003
140,Poznań,Matejki,10,165398.35
223,Konin,Swierkowa,4,165142.5500000001
241,Żary,Malinowa,28,164349.0500000001
333,Kalisz,Szmaragdowa,15,163970.0500000001
165,Kluczbork,Sarnia,30,163464.35
404,Gorlice,Drzymały,9,163415.90000000002
323,Płońsk,Broniewskiego,11,162659.44999999995
43,Września,Jesionowa,2,161865.15000000005
171,Iława,Zaciszna,16,161398.85000000003
489,Koło,Prosta,7,160846.65
455,Lublin,Wspólna,27,160573.80000000002
353,Żary,Nałkowskiej,3,160280.60000000003
246,Ostrów Mazowiecka,Sarnia,21,160183.7000000001
269,Czeladź,Toruńska,15,159952.75000000006
157,Puławy,Perłowa,18,159653.35000000003
48,Śrem,Tartaczna,25,159012.50000000012
102,Lubliniec,Topolowa,20,158565.25000000006
392,Jelenia Góra,Przechodnia,29,158450.30000000005
281,Bełchatów,Rzemieślnicza,2,157900.30000000008
328,Stalowa Wola,Ptasia,25,157661.09999999998
74,Piaseczno,Chabrowa,17,157501.25000000003
131,Świnoujście,Podmiejska,8,156353.45000000004
12,Gliwice,Niepodległości,9,156108.55000000005
295,Rybnik,Zbożowa,19,155894.2
73,Sopot,Odrzańska,5,155387.95000000007
24,Kraśnik,Sosnowa,21,155257.3000000001
348,Zduńska Wola,Fredry,14,154804.4000000001
429,Radom,Skrajna,5,154460.65000000008
364,Mikołów,Wyszyńskiego,7,154217.85000000006
113,Gorzów Wielkopolski,Jana Pawła II,11,153789.00000000006
39,Mińsk Mazowiecki,Sienkiewicza,18,153388.8500000001
28,Ostrowiec Świętokrzyski,Lipowa,3,152588.30000000013
381,Bielsk Podlaski,Kolorowa,29,152087.7000000001
41,Oleśnica,Brzozowa,10,151993.2500000001
230,Mielec,Tysiąclecia,2,151935.1500000001
449,Krotoszyn,Jana,7,151875.6000000001
419,Goleniów,Maczka,19,151551.95000000013
11,Sieradz,Rubinowa,6,151102.0
415,Tarnów,Zaciszna,14,151059.6000000001
280,Zawiercie,Bolesława Chrobrego,19,150903.35000000015
4,Sosnowiec,Agrestowa,7,150088.2500000001
483,Rzeszów,Fredry,29,149693.75000000006
473,Żyrardów,Wierzbowa,23,149687.60000000015
290,Inowrocław,Piękna,6,149249.65000000008
457,Czerwionka-Leszczyny,Rzemieślnicza,9,149217.95000000007
500,Ostrów Mazowiecka,Popiełuszki,10,149107.40000000002
326,Bełchatów,Lawendowa,7,149014.30000000005
443,Rybnik,Radosna,18,148025.95000000007
49,Bielsko-Biała,Ogrodowa,25,147906.5000000001
138,Sochaczew,Jeżynowa,9,147776.80000000008
95,Jarosław,Dworska,11,147082.90000000002
424,Świebodzice,Powstańców,28,147012.25000000006
297,Białystok,Orzechowa,30,146335.3000000001
22,Szczecin,Graniczna,21,145883.85000000012
395,Inowrocław,Krasickiego,13,145473.05000000008
274,Chełm,Bydgoska,23,145206.25000000012
291,Goleniów,Klonowa,28,145185.7000000001
250,Chełm,Średnia,2,145017.30000000016
370,Ełk,Chabrowa,26,144851.00000000006
477,Tarnów,Słowicza,5,144847.35000000012
196,Jarosław,Rubinowa,28,144713.60000000012
98,Marki,Agrestowa,27,144377.40000000008
397,Bełchatów,Żwirki i Wigury,18,144274.75000000012
420,Kościerzyna,Dobra,19,142361.00000000003
249,Kalisz,Rzeczna,8,142205.75000000012
126,Bolesławiec,Podmiejska,4,141821.20000000013
356,Kołobrzeg,Opolska,21,141629.8500000001
382,Mikołów,Sosnowa,27,141599.30000000008
272,Płońsk,Piastowska,9,140681.10000000015
496,Olkusz,Władysława Jagiełły,17,139677.95000000016
10,Tarnobrzeg,Warszawska,6,139394.8500000001
434,Brzeg,Strażacka,12,139128.5500000001
27,Tychy,Mickiewicza,18,138475.80000000013
151,Zakopane,Graniczna,11,138456.65000000014
330,Olsztyn,Szkolna,10,138275.6000000001
451,Czerwionka-Leszczyny,Słonecznikowa,26,138149.25000000017
211,Elbląg,Jaworowa,12,138137.10000000006
329,Bielawa,Tylna,14,137802.80000000016
63,Knurów,Olchowa,7,137559.05000000013
42,Zambrów,Jaskółcza,2,137441.20000000022
91,Piła,Polna,24,136997.80000000022
418,Ciechanów,Żabia,26,135701.05000000016
38,Jasło,Pogodna,19,135664.90000000014
96,Puławy,Długa,24,135150.1000000001
14,Siedlce,Maczka,23,135086.60000000015
71,Krotoszyn,Pocztowa,30,134896.2000000002
377,Iława,Ciasna,15,134777.00000000012
312,Oława,Królewska,22,134667.60000000012
159,Świdnica,Grzybowa,7,134396.25000000023
99,Częstochowa,Solidarnosci,8,132917.05000000016
69,Gorlice,Bukowa,12,132013.35000000015
304,Starogard Gdański,Azaliowa,13,131337.5500000001
439,Zambrów,Narcyzowa,18,131328.10000000015
454,Kraśnik,Zielona,5,131125.90000000017
342,Kętrzyn,Dąbrowskiego,14,131053.90000000013
378,Skawina,Sybiraków,12,130526.45000000016
263,Starogard Gdański,Kochanowskiego,21,130500.70000000019
264,Oleśnica,Wrocławska,2,130287.80000000013
61,Zgierz,Listopada,18,129966.50000000013
260,Świdnik,Stroma,14,129333.35000000018
52,Ełk,Źródlana,2,128787.65000000014
367,Lębork,Stroma,13,127906.05000000013
170,Brzeg,Kilińskiego,18,127873.25000000017
359,Mikołów,Graniczna,18,127531.15000000014
305,Piła,Kolorowa,13,127440.95000000016
232,Białogard,Jana Pawła II,28,127010.65000000014
253,Świętochłowice,Górska,12,126974.25000000017
173,Sanok,Kolonia,18,126943.10000000015
497,Głogów,Jałowcowa,29,126668.25000000017
172,Konin,Koralowa,6,126392.5000000002
209,Kraków,Dolna,7,126387.25000000017
239,Białystok,Borówkowa,19,126304.70000000026
470,Środa Wielkopolska,Grottgera,24,125821.80000000019
119,Kędzierzyn-Koźle,Żurawia,19,125777.30000000013
390,Nysa,Narutowicza,30,125514.3000000002
423,Płońsk,Młyńska,16,125434.10000000018
68,Katowice,Zakątek,22,124896.35000000021
262,Toruń,Reja,22,124599.55000000022
361,Ostróda,Jaśminowa,12,124224.50000000012
386,Suwałki,Sowia,22,124140.55000000019
207,Płońsk,Mieszka I,7,123307.50000000012
124,Sieradz,Wodna,2,123114.60000000018
471,Augustów,Skośna,6,123110.45000000017
147,Wałcz,Olchowa,5,123035.35000000012
422,Pabianice,Nowa,6,122984.35000000018
118,Łuków,Powstańców Wielkopolskich,28,122930.75000000017
