Id kina,Adres,Średnia ilość seansów na dzień
241,"Żary, ul. Malinowa 28",1.64
230,"Mielec, ul. Tysiąclecia 2",1.63
214,"Tychy, ul. Klasztorna 12",1.63
55,"Szczecin, ul. Długosza 25",1.62
43,"Września, ul. Jesionowa 2",1.61
75,"Mielec, ul. Mokra 22",1.61
165,"Kluczbork, ul. Sarnia 30",1.61
97,"Siemianowice Śląskie, ul. Zachodnia 30",1.60
389,"Gorzów Wielkopolski, ul. Popiełuszki 4",1.60
286,"Płońsk, ul. Staszica 21",1.60
128,"Oława, ul. Szpitalna 15",1.60
114,"Puławy, ul. Brzozowa 10",1.60
202,"Gorzów Wielkopolski, ul. Starowiejska 26",1.60
251,"Białystok, ul. Sosnowa 11",1.60
352,"Żagań, ul. Solidarnosci 27",1.59
135,"Kielce, ul. Stefana Batorego 27",1.59
223,"Konin, ul. Swierkowa 4",1.59
111,"Jastrzębie-Zdrój, ul. Pocztowa 22",1.59
277,"Kędzierzyn-Koźle, ul. Wiślana 8",1.59
281,"Bełchatów, ul. Rzemieślnicza 2",1.59
216,"Rumia, ul. Witosa 2",1.59
160,"Kwidzyn, ul. Azaliowa 14",1.59
104,"Czeladź, ul. Szarych Szeregów 30",1.59
138,"Sochaczew, ul. Jeżynowa 9",1.59
427,"Jarocin, ul. Krakowska 12",1.59
340,"Starogard Gdański, ul. Malinowa 30",1.58
274,"Chełm, ul. Bydgoska 23",1.58
406,"Tarnobrzeg, ul. Powstańców Śląskich 17",1.58
431,"Wieluń, ul. Chełmońskiego 9",1.58
70,"Łaziska Górne, ul. Fabryczna 23",1.58
421,"Biała Podlaska, ul. Tuwima 24",1.58
76,"Częstochowa, ul. Boczna 30",1.58
390,"Nysa, ul. Narutowicza 30",1.58
325,"Chojnice, ul. Kamienna 11",1.58
348,"Zduńska Wola, ul. Fredry 14",1.58
311,"Biłgoraj, ul. Parkowa 25",1.58
107,"Brodnica, ul. Wiatraczna 14",1.57
35,"Starogard Gdański, ul. Długosza 7",1.57
149,"Słupsk, ul. Tęczowa 25",1.57
184,"Kościan, ul. Broniewskiego 28",1.57
327,"Żywiec, ul. Willowa 4",1.57
270,"Warszawa, ul. Jaśminowa 1",1.57
250,"Chełm, ul. Średnia 2",1.57
294,"Gorlice, ul. Promienna 16",1.57
143,"Kędzierzyn-Koźle, ul. Poprzeczna 8",1.57
73,"Sopot, ul. Odrzańska 5",1.57
17,"Wałcz, ul. Górnicza 2",1.57
430,"Polkowice, ul. Rejtana 11",1.57
213,"Sieradz, ul. Szeroka 13",1.57
333,"Kalisz, ul. Szmaragdowa 15",1.57
131,"Świnoujście, ul. Podmiejska 8",1.56
94,"Wołomin, ul. Stolarska 1",1.56
242,"Jarocin, ul. Gdańska 5",1.56
102,"Lubliniec, ul. Topolowa 20",1.56
489,"Koło, ul. Prosta 7",1.56
175,"Tomaszów Mazowiecki, ul. Pułaskiego 20",1.56
465,"Biała Podlaska, ul. Kalinowa 25",1.56
240,"Kalisz, ul. Jesionowa 18",1.55
285,"Płock, ul. Kwiatowa 14",1.55
29,"Stargard Szczeciński, ul. Lwowska 9",1.55
269,"Czeladź, ul. Toruńska 15",1.53
312,"Oława, ul. Królewska 22",1.44
24,"Kraśnik, ul. Sosnowa 21",1.43
173,"Sanok, ul. Kolonia 18",1.42
382,"Mikołów, ul. Sosnowa 27",1.42
20,"Marki, ul. Okrężna 13",1.41
291,"Goleniów, ul. Klonowa 28",1.41
74,"Piaseczno, ul. Chabrowa 17",1.41
500,"Ostrów Mazowiecka, ul. Popiełuszki 10",1.41
39,"Mińsk Mazowiecki, ul. Sienkiewicza 18",1.41
189,"Gdańsk, ul. Agrestowa 14",1.41
48,"Śrem, ul. Tartaczna 25",1.41
42,"Zambrów, ul. Jaskółcza 2",1.41
12,"Gliwice, ul. Niepodległości 9",1.41
52,"Ełk, ul. Źródlana 2",1.41
395,"Inowrocław, ul. Krasickiego 13",1.40
457,"Czerwionka-Leszczyny, ul. Rzemieślnicza 9",1.40
320,"Oświęcim, ul. Wiejska 13",1.40
69,"Gorlice, ul. Bukowa 12",1.40
88,"Nowy Sącz, ul. Wiosenna 12",1.40
483,"Rzeszów, ul. Fredry 29",1.40
304,"Starogard Gdański, ul. Azaliowa 13",1.40
11,"Sieradz, ul. Rubinowa 6",1.40
57,"Szczytno, ul. Odrzańska 22",1.40
126,"Bolesławiec, ul. Podmiejska 4",1.39
451,"Czerwionka-Leszczyny, ul. Słonecznikowa 26",1.39
196,"Jarosław, ul. Rubinowa 28",1.39
295,"Rybnik, ul. Zbożowa 19",1.39
330,"Olsztyn, ul. Szkolna 10",1.39
443,"Rybnik, ul. Radosna 18",1.39
378,"Skawina, ul. Sybiraków 12",1.39
323,"Płońsk, ul. Broniewskiego 11",1.39
287,"Wołomin, ul. Piwna 17",1.39
293,"Zduńska Wola, ul. Ludowa 18",1.39
381,"Bielsk Podlaski, ul. Kolorowa 29",1.39
226,"Warszawa, ul. Królewska 19",1.39
95,"Jarosław, ul. Dworska 11",1.39
28,"Ostrowiec Świętokrzyski, ul. Lipowa 3",1.39
10,"Tarnobrzeg, ul. Warszawska 6",1.39
439,"Zambrów, ul. Narcyzowa 18",1.39
14,"Siedlce, ul. Maczka 23",1.39
58,"Zabrze, ul. Ściegiennego 1",1.39
63,"Knurów, ul. Olchowa 7",1.38
305,"Piła, ul. Kolorowa 13",1.38
91,"Piła, ul. Polna 24",1.38
353,"Żary, ul. Nałkowskiej 3",1.38
37,"Brzeg, ul. Jesionowa 17",1.38
171,"Iława, ul. Zaciszna 16",1.38
265,"Jelenia Góra, ul. Kolorowa 6",1.38
26,"Olsztyn, ul. Średnia 3",1.38
370,"Ełk, ul. Chabrowa 26",1.38
316,"Bielsk Podlaski, ul. Jarzębinowa 15",1.38
392,"Jelenia Góra, ul. Przechodnia 29",1.38
22,"Szczecin, ul. Graniczna 21",1.38
159,"Świdnica, ul. Grzybowa 7",1.38
249,"Kalisz, ul. Rzeczna 8",1.38
473,"Żyrardów, ul. Wierzbowa 23",1.38
49,"Bielsko-Biała, ul. Ogrodowa 25",1.38
419,"Goleniów, ul. Maczka 19",1.38
140,"Poznań, ul. Matejki 10",1.37
326,"Bełchatów, ul. Lawendowa 7",1.37
404,"Gorlice, ul. Drzymały 9",1.37
496,"Olkusz, ul. Władysława Jagiełły 17",1.37
205,"Kołobrzeg, ul. Turkusowa 16",1.37
290,"Inowrocław, ul. Piękna 6",1.37
367,"Lębork, ul. Stroma 13",1.37
155,"Starogard Gdański, ul. Ogrodowa 29",1.37
297,"Białystok, ul. Orzechowa 30",1.37
68,"Katowice, ul. Zakątek 22",1.36
98,"Marki, ul. Agrestowa 27",1.36
209,"Kraków, ul. Dolna 7",1.36
41,"Oleśnica, ul. Brzozowa 10",1.36
253,"Świętochłowice, ul. Górska 12",1.36
215,"Płock, ul. Dolna 29",1.36
420,"Kościerzyna, ul. Dobra 19",1.35
261,"Lubartów, ul. Ludowa 8",1.35
328,"Stalowa Wola, ul. Ptasia 25",1.35
321,"Pruszcz Gdański, ul. Wierzbowa 2",1.34
485,"Lębork, ul. Ludowa 21",1.34
342,"Kętrzyn, ul. Dąbrowskiego 14",1.23
237,"Inowrocław, ul. Szkolna 16",1.22
118,"Łuków, ul. Powstańców Wielkopolskich 28",1.22
454,"Kraśnik, ul. Zielona 5",1.22
375,"Jaworzno, ul. Lubelska 27",1.22
398,"Płońsk, ul. Okrężna 21",1.22
332,"Luboń, ul. Truskawkowa 2",1.21
442,"Zambrów, ul. Żurawia 20",1.21
150,"Ząbki, ul. Lipowa 15",1.21
356,"Kołobrzeg, ul. Opolska 21",1.21
477,"Tarnów, ul. Słowicza 5",1.21
203,"Kalisz, ul. Rajska 6",1.21
377,"Iława, ul. Ciasna 15",1.21
415,"Tarnów, ul. Zaciszna 14",1.21
239,"Białystok, ul. Borówkowa 19",1.21
422,"Pabianice, ul. Nowa 6",1.20
343,"Katowice, ul. Pułaskiego 8",1.20
497,"Głogów, ul. Jałowcowa 29",1.20
207,"Płońsk, ul. Mieszka I 7",1.20
92,"Świdnica, ul. Maja 18",1.20
27,"Tychy, ul. Mickiewicza 18",1.20
