special_offer_id,name,amount,free_tickets_count
953,futro,10.00,1
8186,rozumieć,10.00,1
7518,2,10.00,1
1475,intensywny,10.00,1
1058,konstrukcja,10.00,1
264,łyżka,10.00,1
177,projekt,10.00,1
9205,osiem,10.00,1
9851,podłoga,10.00,1
7616,rozmowa,10.00,1
9652,środkowy,10.00,1
8072,ciągnąć,10.00,1
5097,ja,10.00,1
736,także,10.00,1
2138,gdzieś,10.00,1
2990,składać,10.00,1
365,pomarańcza,10.00,1
8656,podczas,10.00,1
8049,na przykład,10.00,1
686,muzyka,10.00,1
514,ciąża,10.00,1
2191,lina,10.00,1
1216,używać,10.00,1
994,rozmowa,10.00,0
3798,sportowy,10.00,0
6823,produkcja,10.00,0
9035,nie-,10.00,0
6025,bar,10.00,0
2047,telewizja,10.00,0
1244,osiem,10.00,0
7677,zwierzę,10.00,0
4719,użytkownik,10.00,0
822,sto,10.00,0
5086,odpowiedni,10.00,0
8270,spokojny,10.00,0
3177,ukraiński,10.00,0
9236,znak,10.00,0
9113,ptak,10.00,0
6678,miesiąc,10.00,0
2687,pająk,10.00,0
8319,oglądać,10.00,0
9830,poeta,10.00,0
9846,nazywać,10.00,0
6323,międzynarodowy,10.00,0
2976,pojazd,10.00,0
534,m.in.,10.00,0
808,leczenie,10.00,0
9789,obcy,10.00,0
6673,zapis,10.00,0
5936,dusza,10.00,0
218,przeciwko,10.00,0
7969,list,10.00,0
4749,wilk,10.00,0
4610,Stany Zjednoczone,10.00,0
6989,delikatny,10.00,0
3400,historia,10.00,0
579,robić,10.00,0
1450,rosnąć,10.00,0
7563,widzieć,10.00,0
2042,głupi,10.00,0
3138,gwiazdozbiór,10.00,0
5489,opieka,10.00,0
4571,silny,10.00,0
2544,jako,10.00,0
8749,zazwyczaj,10.00,0
4476,grać,10.00,0
5336,naród,10.00,0
5440,on,10.00,0
3879,zbyt,10.00,0
9172,pamiętać,10.00,0
6542,należeć,10.00,0
5551,krew,10.00,0
9729,kolacja,10.00,0
1545,minuskuła,10.00,0
8391,kieszeń,10.00,0
5893,europejski,10.00,0
6415,pytanie,10.00,0
6074,udział,10.00,0
3808,głos,10.00,0
561,stanowisko,10.00,0
1237,udać się,10.00,0
9294,kąt,10.00,0
4468,Hiszpania,10.00,0
6859,nikt,10.00,0
26,utrzymywać,10.00,0
7172,łagodny,10.00,0
3608,godzina,10.00,0
2430,norma,10.00,0
2408,kilometr,10.00,0
8385,kobieta,10.00,0
1181,wóz,10.00,0
348,marzec,10.00,0
4829,praktyka,10.00,0
8342,adres,10.00,0
8403,zaburzenie,10.00,0
5946,ziarno,10.00,0
393,określać,10.00,0
3352,prawie,10.00,0
1151,wykonanie,10.00,0
5218,tył,10.00,0
5979,mistrz,10.00,0
8538,styczeń,10.00,0
1204,skrzydło,10.00,0
2089,kobieta,10.00,0
619,ludzie,10.00,0
9665,mistrz,10.00,0
9381,złożony,10.00,0
2873,po,10.00,0
1976,według,10.00,0
3655,sztuczny,10.00,0
8623,sobie,10.00,0
2908,ziemski,10.00,0
1574,zgoda,10.00,0
4768,inaczej,10.00,0
4313,głupi,10.00,0
1472,rower,10.00,0
1756,70,10.00,0
6850,służba,10.00,0
5920,alkoholowy,10.00,0
7447,jeden,10.00,0
5942,rasa,10.00,0
9711,ciemność,10.00,0
3336,telewizyjny,10.00,0
6324,wreszcie,10.00,0
8495,ciąża,10.00,0
5570,szlachetny,10.00,0
8894,firma,10.00,0
7326,chyba,10.00,0
4854,przyjść,10.00,0
5188,zamieszkiwać,10.00,0
3970,6,10.00,0
9744,pierwiastek,10.00,0
8475,cecha,10.00,0
3397,zgodny,10.00,0
4796,szkolny,10.00,0
6582,wstyd,10.00,0
5546,dawać,10.00,0
7211,doprowadzić,10.00,0
3038,sukces,10.00,0
6549,skala,10.00,0
7911,intensywny,10.00,0
9927,narząd,10.00,0
5101,biuro,10.00,0
4098,korona,10.00,0
2026,wywodzić się,10.00,0
3313,ja,10.00,0
681,skutek,10.00,0
8248,przez,10.00,0
8537,tu,10.00,0
9265,postać,10.00,0
1115,kapelusz,10.00,0
9365,ozdoba,10.00,0
987,dziać się,10.00,0
3709,rozmiar,10.00,0
2565,więc,10.00,0
13,gniazdo,10.00,0
666,mąż,10.00,0
4909,plaża,10.00,0
2223,niewielki,10.00,0
250,niezwykły,10.00,0
321,wyraz,10.00,0
8190,dzieło,10.00,0
4597,mi,10.00,0
2827,wróg,10.00,0
4163,babcia,10.00,0
5935,okropny,10.00,0
7726,broń,10.00,0
6968,but,10.00,0
9671,powstać,10.00,0
7896,piłka,10.00,0
2189,futro,10.00,0
6607,pierwszy,10.00,0
8301,organizacja,10.00,0
6255,okropny,10.00,0
1239,arabski,10.00,0
6659,chleb,10.00,0
757,średniowieczny,10.00,0
5496,naturalny,10.00,0
8548,związać,10.00,0
9215,kontrola,10.00,0
284,ziemia,10.00,0
455,ubogi,10.00,0
5845,dziadek,10.00,0
4375,wyrażać,10.00,0
5187,cierpienie,10.00,0
3996,Jezus,10.00,0
1301,jego,10.00,0
9613,pani,10.00,0
1413,Kraków,10.00,0
9214,kobieta,10.00,0
7966,w czasie,10.00,0
9015,w formie,10.00,0
966,głośny,10.00,0
2193,papieros,10.00,0
9097,urządzenie,10.00,0
8020,przeciwnik,10.00,0
4639,los,10.00,0
6964,państwowy,10.00,0
5081,znajdować się,10.00,0
9056,mrówka,10.00,0
2522,styl,10.00,0
8605,tytoń,10.00,0
5581,obrona,10.00,0
2554,niektóry,10.00,0
9600,charakterystyczny,10.00,0
7331,walka,10.00,0
3036,parlament,10.00,0
6750,wyłącznie,10.00,0
9594,użytkownik,10.00,0
6312,tłumaczyć,10.00,0
9158,jakiś,10.00,0
1157,gra,10.00,0
657,martwy,10.00,0
5175,zwierzę,10.00,0
4402,z,10.00,0
8769,otwarty,10.00,0
3534,krótki,10.00,0
4242,20,10.00,0
8518,barwa,10.00,0
8583,artykuł,10.00,0
5745,budynek,10.00,0
4463,ładny,10.00,0
2382,doskonały,10.00,0
2368,pomysł,10.00,0
3525,zły,10.00,0
8701,spać,10.00,0
6499,6,10.00,0
5598,gęś,10.00,0
9700,poruszać się,10.00,0
5775,miękki,10.00,0
7757,służba,10.00,0
1918,Grecja,10.00,0
2339,kultura,10.00,0
8925,krzew,10.00,0
4320,ja,10.00,0
6344,orzeł,10.00,0
2365,śmiech,10.00,0
4969,artykuł,10.00,0
5185,dzisiaj,10.00,0
8418,równy,10.00,0
4718,uniwersytet,10.00,0
4211,pół,10.00,0
5230,śmiać się,10.00,0
3980,osoba,10.00,0
9010,podać,10.00,0
8126,moment,10.00,0
5002,zamiast,10.00,0
7226,dość,10.00,0
290,duży,10.00,0
8752,poczta,10.00,0
3162,trudno,10.00,0
9363,przedmiot,10.00,0
4294,powierzchnia,10.00,0
5659,tu,10.00,0
6135,grzech,10.00,0
7693,jesień,10.00,0
1357,górny,10.00,0
5609,rzeczywistość,10.00,0
1505,naprawdę,10.00,0
6755,odcień,10.00,0
6487,Turcja,10.00,0
5758,silnik,10.00,0
2633,sen,10.00,0
1907,zima,10.00,0
1959,chwila,10.00,0
1890,pieśń,10.00,0
1922,minerał,10.00,0
3851,wiadomość,10.00,0
5378,wzdłuż,10.00,0
595,pieniądz,10.00,0
4944,bezpośrednio,10.00,0
6889,pas,10.00,0
7004,plac,10.00,0
1006,wojsko,10.00,0
4816,jeden,10.00,0
5318,dodawać,10.00,0
1642,radiowy,10.00,0
7001,motyl,10.00,0
6196,coś,10.00,0
8096,czapka,10.00,0
3755,30,10.00,0
3537,człowiek,10.00,0
3244,zaś,10.00,0
7814,obowiązek,10.00,0
5398,ściana,10.00,0
4970,poruszać się,10.00,0
4880,strefa,10.00,0
9755,rola,10.00,0
6766,wybrać,10.00,0
6997,sprzedaż,10.00,0
7279,nad,10.00,0
7263,znak,10.00,0
8070,łączyć,10.00,0
358,tor,10.00,0
5267,pytać,10.00,0
976,że,10.00,0
7593,kosztować,10.00,0
7936,nauczycielka,10.00,0
7178,kolor,10.00,0
951,liczba,10.00,0
7831,przestępstwo,10.00,0
2458,przestępstwo,10.00,0
5466,tysiąc,10.00,0
3958,późny,10.00,0
3238,powierzchnia,10.00,0
3787,chyba,10.00,0
3724,oczekiwać,10.00,0
9157,obrót,10.00,0
7784,żaden,10.00,0
5259,gniew,10.00,0
6375,zbierać,10.00,0
7944,jajko,10.00,0
8313,1000,10.00,0
2222,osiem,10.00,0
131,kilometr,10.00,0
5545,prowincja,10.00,0
8687,smak,10.00,0
9089,zdobyć,10.00,0
8738,wesoły,10.00,0
4843,zaczynać,10.00,0
5486,ryż,10.00,0
7669,skłonność,10.00,0
7307,muzyka,10.00,0
4799,płacić,10.00,0
3318,Dania,10.00,0
1973,wychodzić,10.00,0
3473,wiosna,10.00,0
1564,rozumieć,10.00,0
1697,policja,10.00,0
6644,inny,10.00,0
5968,komputer,10.00,0
369,kierowca,10.00,0
9582,za pomocą,10.00,0
8146,całkiem,10.00,0
3416,norma,10.00,0
1947,nosić,10.00,0
4055,sprzęt,10.00,0
6770,filmowy,10.00,0
7535,mało,10.00,0
4657,odwaga,10.00,0
2815,ze,10.00,0
5322,popularny,10.00,0
8314,usługa,10.00,0
1666,powstawać,10.00,0
6474,mieszkać,10.00,0
6546,plemię,10.00,0
7370,scena,10.00,0
2611,jadalny,10.00,0
6295,zwolennik,10.00,0
6493,jasny,10.00,0
4881,chory,10.00,0
5314,żołądek,10.00,0
4134,dwanaście,10.00,0
4263,spadek,10.00,0
4070,pytanie,10.00,0
9495,krótki,10.00,0
6385,wygrać,10.00,0
4813,Pan,10.00,0
7185,wojna,10.00,0
9271,chemiczny,10.00,0
229,zdanie,10.00,0
3668,ziemski,10.00,0
618,kierunek,10.00,0
405,stanowić,10.00,0
9646,dno,10.00,0
900,uważać,10.00,0
6849,korzyść,10.00,0
5591,zacząć,10.00,0
764,Słońce,10.00,0
4869,kwiecień,10.00,0
5528,urzędnik,10.00,0
2338,posiadać,10.00,0
3369,pustynia,10.00,0
7479,możliwość,10.00,0
281,zdrowie,10.00,0
2369,jechać,10.00,0
4193,znaczenie,10.00,0
2404,wydawać się,10.00,0
3783,list,10.00,0
3588,Austria,10.00,0
7921,stół,10.00,0
1481,USA,10.00,0
6922,określać,10.00,0
4087,klasztor,10.00,0
1689,w celu,10.00,0
2663,Turcja,10.00,0
7107,pieśń,10.00,0
7982,wycieczka,10.00,0
5636,nauczycielka,10.00,0
3741,miesiąc,10.00,0
9911,kuchnia,10.00,0
4192,lęk,10.00,0
9727,użyć,10.00,0
5803,tysiąc,10.00,0
2407,twarz,10.00,0
4011,minuta,10.00,0
9504,dopływ,10.00,0
6708,obywatelka,10.00,0
2728,kształt,10.00,0
398,zapomnieć,10.00,0
874,strefa,10.00,0
6745,czyjś,10.00,0
8321,pies,10.00,0
7399,wrażenie,10.00,0
2,duński,10.00,0
231,sposób,10.00,0
3592,dusza,10.00,0
2880,treść,10.00,0
8187,student,10.00,0
2901,rodowity,10.00,0
1127,nasiono,10.00,0
8455,dobrze,10.00,0
3792,układ okresowy,10.00,0
9031,zapalenie,10.00,0
2307,przynieść,10.00,0
2348,dół,10.00,0
5912,iść,10.00,0
5656,płyn,10.00,0
8357,zatoka,10.00,0
2886,dźwięk,10.00,0
3444,możliwy,10.00,0
2301,gardło,10.00,0
6099,smutny,10.00,0
4474,korzystać,10.00,0
32,żołądek,10.00,0
5891,tu,10.00,0
3329,zajmować się,10.00,0
638,czytać,10.00,0
6616,nic,10.00,0
1675,wschodni,10.00,0
6882,powoli,10.00,0
5790,zjawisko,10.00,0
8361,jeśli,10.00,0
3986,przyprawa,10.00,0
8183,rak,10.00,0
6359,produkt,10.00,0
4990,rodowity,10.00,0
2842,chęć,10.00,0
6779,grunt,10.00,0
6939,opieka,10.00,0
5114,intensywny,10.00,0
4708,handlowy,10.00,0
7938,przypominać,10.00,0
2008,pacjent,10.00,0
8154,położenie,10.00,0
3885,działać,10.00,0
6702,zewnętrzny,10.00,0
6984,stosunek,10.00,0
2881,związać,10.00,0
8447,dziwny,10.00,0
4724,ciąża,10.00,0
7419,tytoń,10.00,0
7998,bić,10.00,0
2971,kolega,10.00,0
4958,wyjście,10.00,0
3035,gorączka,10.00,0
4700,podczas,10.00,0
1125,wprowadzać,10.00,0
928,zatoka,10.00,0
905,żołnierz,10.00,0
1853,szczyt,10.00,0
5748,oddawać,10.00,0
1670,wreszcie,10.00,0
520,sobota,10.00,0
2288,myśl,10.00,0
4477,ta,10.00,0
9350,film,10.00,0
6105,przynieść,10.00,0
5471,europejski,10.00,0
4037,gatunek,10.00,0
2059,zaufanie,10.00,0
2176,gatunek,10.00,0
1269,las,10.00,0
9080,gorączka,10.00,0
2853,Europa,10.00,0
9661,przyprawa,10.00,0
2166,dziób,10.00,0
9357,okrągły,10.00,0
4248,chory,10.00,0
355,mój,10.00,0
1881,Rumunia,10.00,0
3777,podłoga,10.00,0
3331,artykuł,10.00,0
33,miecz,10.00,0
8273,gęś,10.00,0
1416,miejscowość,10.00,0
3337,pojawiać się,10.00,0
4306,—,10.00,0
7067,ciepło,10.00,0
1860,następny,10.00,0
7293,wzór,10.00,0
8080,duch,10.00,0
9820,tablica,10.00,0
8936,bank,10.00,0
9752,bilet,10.00,0
5165,dziecko,10.00,0
8505,obserwować,10.00,0
2556,klasa,10.00,0
1308,wrzesień,10.00,0
6318,łódź,10.00,0
5949,rower,10.00,0
1994,znajdować,10.00,0
151,minister,10.00,0
6781,na,10.00,0
3654,czytać,10.00,0
3203,pojedynczy,10.00,0
9898,więc,10.00,0
9762,prowadzić,10.00,0
5252,przyprawa,10.00,0
5021,na,10.00,0
8371,cześć,10.00,0
8775,modlitwa,10.00,0
6743,nagły,10.00,0
6169,otaczać,10.00,0
4671,1000,10.00,0
1865,droga,10.00,0
8164,postawa,10.00,0
382,karta,10.00,0
1367,zabawka,10.00,0
1725,kapelusz,10.00,0
7069,finansowy,10.00,0
4151,północny,10.00,0
9386,100,10.00,0
5987,pragnienie,10.00,0
6587,oznaczać,10.00,0
3695,?,10.00,0
4132,pomiędzy,10.00,0
7754,Chiny,10.00,0
452,obywatel,10.00,0
8326,obwód,10.00,0
2526,iść,10.00,0
5288,przez,10.00,0
137,uderzać,10.00,0
5003,kapelusz,10.00,0
9524,zacząć,10.00,0
378,chmura,10.00,0
4061,składać się,10.00,0
2117,wciąż,10.00,0
8574,potrawa,10.00,0
3672,uderzać,10.00,0
2367,wypowiedź,10.00,0
2563,szary,10.00,0
2794,gorączka,10.00,0
492,prezydent,10.00,0
8481,doskonały,10.00,0
4203,ozdobny,10.00,0
5281,internetowy,10.00,0
8296,pierwiastek chemiczny,10.00,0
3650,świadczyć,10.00,0
8138,pod,10.00,0
3637,program,10.00,0
7779,temat,10.00,0
1677,wielki,10.00,0
5468,egzamin,10.00,0
3037,pomieszczenie,10.00,0
8099,ser,10.00,0
4593,ogród,10.00,0
5960,obiad,10.00,0
478,minister,10.00,0
6378,przyjęcie,10.00,0
6152,zachodni,10.00,0
5179,pomoc,10.00,0
2187,dolny,10.00,0
9244,pomiędzy,10.00,0
2132,podłoga,10.00,0
3991,jedzenie,10.00,0
3950,język,10.00,0
1022,zakończyć,10.00,0
8976,milion,10.00,0
9016,czarny,10.00,0
5305,uderzenie,10.00,0
3192,wyjście,10.00,0
4529,system,10.00,0
6054,warunek,10.00,0
1820,obowiązek,10.00,0
7825,koszt,10.00,0
2944,Białoruś,10.00,0
6694,właściwy,10.00,0
6104,czynnik,10.00,0
5735,ssak,10.00,0
1657,zachowywać się,10.00,0
6907,ruch,10.00,0
6657,dach,10.00,0
4428,jesień,10.00,0
8534,coraz,10.00,0
8569,powstawać,10.00,0
2465,żydowski,10.00,0
5227,lustro,10.00,0
3254,USA,10.00,0
7410,czekolada,10.00,0
9404,znak,10.00,0
232,decyzja,10.00,0
2316,ogon,10.00,0
2958,wina,10.00,0
8592,kara,10.00,0
