_id,city,street,building_number,total_ticket_income
17,Wałcz,Górnicza,2,214936.80
277,Kędzierzyn-Koźle,Wiślana,8,213185.70
214,Tychy,Klasztorna,12,205755.95
202,Gorzów Wielkopolski,Starowiejska,26,203755.50
406,Tarnobrzeg,Powstańców Śląskich,17,199727.00
143,Kędzierzyn-Koźle,Poprzeczna,8,199161.05
270,Warszawa,Jaśminowa,1,198456.40
242,Jarocin,Gdańska,5,197031.25
327,Żywiec,Willowa,4,194585.15
240,Kalisz,Jesionowa,18,193531.45
205,Kołobrzeg,Turkusowa,16,188146.45
430,Polkowice,Rejtana,11,185832.10
128,Oława,Szpitalna,15,185826.35
293,Zduńska Wola,Ludowa,18,185600.50
389,Gorzów Wielkopolski,Popiełuszki,4,184776.65
325,Chojnice,Kamienna,11,184356.60
160,Kwidzyn,Azaliowa,14,183048.05
107,Brodnica,Wiatraczna,14,182380.55
75,Mielec,Mokra,22,182066.05
427,Jarocin,Krakowska,12,181476.15
421,Biała Podlaska,Tuwima,24,181130.25
184,Kościan,Broniewskiego,28,180866.95
316,Bielsk Podlaski,Jarzębinowa,15,180600.50
294,Gorlice,Promienna,16,180397.55
114,Puławy,Brzozowa,10,179769.85
286,Płońsk,Staszica,21,179423.55
88,Nowy Sącz,Wiosenna,12,179354.20
55,Szczecin,Długosza,25,178232.80
431,Wieluń,Chełmońskiego,9,178130.55
29,Stargard Szczeciński,Lwowska,9,177709.30
320,Oświęcim,Wiejska,13,176584.85
175,Tomaszów Mazowiecki,Pułaskiego,20,176025.10
70,Łaziska Górne,Fabryczna,23,175675.75
237,Inowrocław,Szkolna,16,175546.40
189,Gdańsk,Agrestowa,14,175536.35
311,Biłgoraj,Parkowa,25,175504.10
135,Kielce,Stefana Batorego,27,173756.45
97,Siemianowice Śląskie,Zachodnia,30,172820.10
215,Płock,Dolna,29,172166.80
213,Sieradz,Szeroka,13,171543.05
216,Rumia,Witosa,2,171444.60
111,Jastrzębie-Zdrój,Pocztowa,22,170788.50
285,Płock,Kwiatowa,14,170548.65
251,Białystok,Sosnowa,11,170532.30
352,Żagań,Solidarnosci,27,170531.75
485,Lębork,Ludowa,21,170328.30
340,Starogard Gdański,Malinowa,30,170176.45
465,Biała Podlaska,Kalinowa,25,169529.15
76,Częstochowa,Boczna,30,169077.45
35,Starogard Gdański,Długosza,7,168064.20
265,Jelenia Góra,Kolorowa,6,167850.10
104,Czeladź,Szarych Szeregów,30,167383.50
94,Wołomin,Stolarska,1,167252.80
26,Olsztyn,Średnia,3,166525.80
261,Lubartów,Ludowa,8,166266.05
149,Słupsk,Tęczowa,25,165668.00
321,Pruszcz Gdański,Wierzbowa,2,165553.35
140,Poznań,Matejki,10,165398.35
223,Konin,Swierkowa,4,165142.55
241,Żary,Malinowa,28,164689.15
404,Gorlice,Drzymały,9,164267.30
333,Kalisz,Szmaragdowa,15,163970.05
