Id kina,Adres,Przychody z biletów
214,"Tychy, ul. Klasztorna 12",16601.80
277,"Kędzierzyn-Koźle, ul. Wiślana 8",16166.55
114,"Puławy, ul. Brzozowa 10",15289.45
242,"Jarocin, ul. Gdańska 5",15101.30
17,"Wałcz, ul. Górnicza 2",14578.45
270,"Warszawa, ul. Jaśminowa 1",14327.25
107,"Brodnica, ul. Wiatraczna 14",14322.75
70,"Łaziska Górne, ul. Fabryczna 23",13956.75
205,"Kołobrzeg, ul. Turkusowa 16",13535.60
202,"Gorzów Wielkopolski, ul. Starowiejska 26",13239.60
421,"Biała Podlaska, ul. Tuwima 24",12914.50
149,"Słupsk, ul. Tęczowa 25",12630.50
389,"Gorzów Wielkopolski, ul. Popiełuszki 4",12478.30
265,"Jelenia Góra, ul. Kolorowa 6",12406.25
99,"Częstochowa, ul. Solidarnosci 8",12299.25
223,"Konin, ul. Swierkowa 4",12293.65
327,"Żywiec, ul. Willowa 4",12251.30
311,"Biłgoraj, ul. Parkowa 25",12169.90
128,"Oława, ul. Szpitalna 15",12163.30
240,"Kalisz, ul. Jesionowa 18",12117.95
29,"Stargard Szczeciński, ul. Lwowska 9",12057.75
35,"Starogard Gdański, ul. Długosza 7",11784.65
237,"Inowrocław, ul. Szkolna 16",11682.10
382,"Mikołów, ul. Sosnowa 27",11633.15
135,"Kielce, ul. Stefana Batorego 27",11535.50
11,"Sieradz, ul. Rubinowa 6",11495.80
241,"Żary, ul. Malinowa 28",11413.80
251,"Białystok, ul. Sosnowa 11",11280.50
325,"Chojnice, ul. Kamienna 11",11241.20
477,"Tarnów, ul. Słowicza 5",11226.80
321,"Pruszcz Gdański, ul. Wierzbowa 2",11194.30
171,"Iława, ul. Zaciszna 16",11180.45
143,"Kędzierzyn-Koźle, ul. Poprzeczna 8",11176.15
43,"Września, ul. Jesionowa 2",11010.75
184,"Kościan, ul. Broniewskiego 28",11010.60
175,"Tomaszów Mazowiecki, ul. Pułaskiego 20",11008.75
189,"Gdańsk, ul. Agrestowa 14",10991.85
340,"Starogard Gdański, ul. Malinowa 30",10946.65
489,"Koło, ul. Prosta 7",10915.85
429,"Radom, ul. Skrajna 5",10910.90
404,"Gorlice, ul. Drzymały 9",10820.40
313,"Sieradz, ul. Niecała 15",10710.95
430,"Polkowice, ul. Rejtana 11",10668.25
97,"Siemianowice Śląskie, ul. Zachodnia 30",10572.10
320,"Oświęcim, ul. Wiejska 13",10521.85
