_id,title,language,format,screening_count
3243,Pismo naród.,german,2D,101
816,Sportowy.,spanish,IMAX,100
3264,Koszula nazwisko.,polish,3D,99
5382,Powinien.,english,2D,99
2030,Przeciwny.,spanish,3D,99
6452,Czoło wkrótce.,polish,2D,98
9307,Mecz technika.,polish,IMAX,98
281,Odcień sygnał.,polish,2D,98
7472,Charakterystyczny.,polish,2D,97
7650,Igła istnieć.,polish,3D,97
1326,Jabłko prezent.,spanish,2D,97
8500,Pan.,spanish,2D,97
1294,Październik ważny.,english,2D,97
921,Pomiędzy syn.,polish,IMAX,97
437,Rozwój.,english,3D,97
7948,Ilość przedsiębiorstwo.,english,IMAX,96
4349,Muzyka zdobyć.,polish,3D,96
7410,Pałac.,spanish,3D,96
806,Podatek przeznaczyć.,english,3D,96
4911,Rzadko.,polish,3D,96
261,Samica.,english,3D,96
4191,Skończyć.,spanish,IMAX,96
7789,Zacząć.,polish,IMAX,96
8654,Żeński uniwersytet.,spanish,IMAX,96
4177,Archipelag.,german,3D,95
73,Figura 60.,spanish,3D,95
3172,Jadalny zbiór.,english,IMAX,95
8542,Obóz.,english,3D,95
4892,Odzież.,english,3D,95
9765,Port Europa.,german,2D,95
386,Zapalenie.,english,IMAX,95
6419,Zwycięstwo klasa.,polish,IMAX,95
9464,Budować aż.,english,IMAX,94
3585,Dalej.,spanish,IMAX,94
5787,Dźwięk alkoholowy.,polish,2D,94
5288,Okrągły.,english,2D,94
3163,Polityk centralny.,polish,IMAX,94
6854,Przez opłata.,english,2D,94
7955,Rola.,spanish,3D,94
9756,Róża.,german,2D,94
5672,Różnica okolica.,english,IMAX,94
2428,Smak.,english,3D,94
2986,Sukienka rola.,english,IMAX,94
846,Szklanka.,german,3D,94
1941,Walczyć.,polish,3D,94
210,Wiele.,polish,3D,94
2191,Większość.,german,3D,94
958,Zdrowy.,spanish,3D,94
317,1000.,english,IMAX,93
2050,Chmura dla.,german,2D,93
7758,Czysty.,spanish,2D,93
2972,Deszcz.,spanish,3D,93
7270,Drobny.,german,IMAX,93
4421,Intensywny.,spanish,2D,93
2486,Jezus koniec.,spanish,2D,93
5486,Klasa.,english,IMAX,93
6060,Książę.,german,3D,93
3633,Literatura.,german,3D,93
6374,Nic.,english,IMAX,93
8233,Podłoga.,english,IMAX,93
6786,Podstawowy uchodzić.,german,2D,93
1843,Powszechny.,spanish,2D,93
8683,Przychodzić.,english,IMAX,93
8772,Sala.,english,IMAX,93
4540,Siódmy.,german,3D,93
9526,Straszny cesarz.,german,3D,93
7434,Telewizyjny podróżować.,spanish,2D,93
8092,Zabawa.,spanish,IMAX,93
4498,Zajmować przyjąć.,german,3D,93
7366,Żydowski pusty.,spanish,3D,93
1895,1000 za pomocą.,english,IMAX,92
7018,5.,spanish,IMAX,92
9472,Boże Narodzenie teraz.,spanish,IMAX,92
5393,Chcieć.,german,2D,92
749,Działalność ojczyzna.,polish,IMAX,92
6478,Gniazdo wykorzystywać.,german,3D,92
